2021-02-04 08:59:06,113 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-surefire-plugin/2.12.4/maven-surefire-plugin-2.12.4.jar
2021-02-04 08:59:06,199 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-surefire-plugin/2.12.4/maven-surefire-plugin-2.12.4.jar
2021-02-04 08:59:22,424 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.fh-dortmund:maven-platoon:0.0.1-SNAPSHOT @ E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\pom.xml.
2021-02-04 08:59:24,620 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.eclipse.org/content/repositories/paho-releases/org/eclipse/paho/org.eclipse.paho.client.mqttv3/1.2.0/org.eclipse.paho.client.mqttv3-1.2.0.pom
2021-02-04 08:59:24,842 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.eclipse.org/content/repositories/paho-releases/org/eclipse/paho/java-parent/1.2.0/java-parent-1.2.0.pom
2021-02-04 08:59:25,002 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/paho/java-parent/1.2.0/java-parent-1.2.0.pom
2021-02-04 08:59:25,099 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/paho/java-parent/1.2.0/java-parent-1.2.0.pom
2021-02-04 08:59:25,493 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.eclipse.org/content/repositories/paho-releases/org/eclipse/paho/org.eclipse.paho.client.mqttv3/1.2.0/org.eclipse.paho.client.mqttv3-1.2.0.jar
2021-02-04 08:59:26,234 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.eclipse.org/content/repositories/paho-releases/org/eclipse/paho/org.eclipse.paho.client.mqttv3/1.2.0/org.eclipse.paho.client.mqttv3-1.2.0.jar
2021-02-04 08:59:33,643 [Worker-9: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven-platoon/src/main/java
2021-02-04 08:59:33,644 [Worker-9: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven-platoon/src/test/java
2021-02-04 08:59:33,944 [Worker-9: Importing Maven projects] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 33 sec
2021-02-04 08:59:42,670 [Worker-16: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 08:59:42,672 [Worker-16: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 08:59:42,674 [Worker-16: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 08:59:42,675 [Worker-16: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 08:59:48,692 [Worker-19: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 08:59:48,693 [Worker-19: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 08:59:48,695 [Worker-19: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 08:59:48,696 [Worker-19: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 10:06:17,234 [Worker-34: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 10:06:17,285 [Worker-34: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 10:06:17,286 [Worker-34: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 10:06:17,287 [Worker-34: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 10:10:39,314 [Worker-38: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 10:10:39,315 [Worker-38: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\main\resources
2021-02-04 10:10:39,317 [Worker-38: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-02-04 10:10:39,318 [Worker-38: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\FH_Dortmund\Distributed and Parallel systems\Project_repo\Project_repo_for_JAVA\socrates-platoon\Platoon\maven-platoon\src\test\resources
2021-02-04 10:12:33,359 [Worker-36: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
